asset_id,source_entity_id,asset_type,variant,build_scope,required,unit_count,status,is_placeholder,owner,reviewer,target_milestone,license_id,evidence
ART_BG_M2_BEDROOM,M2_BEDROOM,background,base,demo_full,true,1,PLANNED,true,210,gatam,M2_DEMO_COMPLETE,TBD,
ART_OVR_M2_BEDROOM,M2_BEDROOM,world_overlay,phase_pack,demo_full,true,1,PLANNED,true,210,gatam,M2_DEMO_COMPLETE,TBD,
AUD_AMB_M2_BEDROOM,M2_BEDROOM,ambient_audio,base_loop,demo_full,true,1,PLANNED,true,NOne,gatam,M2_DEMO_COMPLETE,TBD,
ART_BG_M2_UPPER_HALL,M2_UPPER_HALL,background,base,demo_full,true,1,PLANNED,true,210,gatam,M2_DEMO_COMPLETE,TBD,
ART_OVR_M2_UPPER_HALL,M2_UPPER_HALL,world_overlay,phase_pack,demo_full,true,1,PLANNED,true,210,gatam,M2_DEMO_COMPLETE,TBD,
AUD_AMB_M2_UPPER_HALL,M2_UPPER_HALL,ambient_audio,base_loop,demo_full,true,1,PLANNED,true,NOne,gatam,M2_DEMO_COMPLETE,TBD,
ART_BG_M2_STAIR_LANDING,M2_STAIR_LANDING,background,base,demo_full,true,1,PLANNED,true,210,gatam,M2_DEMO_COMPLETE,TBD,
ART_OVR_M2_STAIR_LANDING,M2_STAIR_LANDING,world_overlay,phase_pack,demo_full,true,1,PLANNED,true,210,gatam,M2_DEMO_COMPLETE,TBD,
AUD_AMB_M2_STAIR_LANDING,M2_STAIR_LANDING,ambient_audio,base_loop,demo_full,true,1,PLANNED,true,NOne,gatam,M2_DEMO_COMPLETE,TBD,
ART_BG_M1_CENTRAL_HALL,M1_CENTRAL_HALL,background,base,demo_full,true,1,PLANNED,true,210,gatam,M2_DEMO_COMPLETE,TBD,
ART_OVR_M1_CENTRAL_HALL,M1_CENTRAL_HALL,world_overlay,phase_pack,demo_full,true,1,PLANNED,true,210,gatam,M2_DEMO_COMPLETE,TBD,
AUD_AMB_M1_CENTRAL_HALL,M1_CENTRAL_HALL,ambient_audio,base_loop,demo_full,true,1,PLANNED,true,NOne,gatam,M2_DEMO_COMPLETE,TBD,
ART_BG_M1_PARLOR,M1_PARLOR,background,base,demo_full,true,1,PLANNED,true,210,gatam,M2_DEMO_COMPLETE,TBD,
ART_OVR_M1_PARLOR,M1_PARLOR,world_overlay,phase_pack,demo_full,true,1,PLANNED,true,210,gatam,M2_DEMO_COMPLETE,TBD,
AUD_AMB_M1_PARLOR,M1_PARLOR,ambient_audio,base_loop,demo_full,true,1,PLANNED,true,NOne,gatam,M2_DEMO_COMPLETE,TBD,
ART_BG_M1_MIRROR_GALLERY,M1_MIRROR_GALLERY,background,base,demo_full,true,1,PLANNED,true,210,gatam,M2_DEMO_COMPLETE,TBD,
ART_OVR_M1_MIRROR_GALLERY,M1_MIRROR_GALLERY,world_overlay,phase_pack,demo_full,true,1,PLANNED,true,210,gatam,M2_DEMO_COMPLETE,TBD,
AUD_AMB_M1_MIRROR_GALLERY,M1_MIRROR_GALLERY,ambient_audio,base_loop,demo_full,true,1,PLANNED,true,NOne,gatam,M2_DEMO_COMPLETE,TBD,
ART_BG_M1_DINING_ROOM,M1_DINING_ROOM,background,base,demo_full,true,1,PLANNED,true,210,gatam,M2_DEMO_COMPLETE,TBD,
ART_OVR_M1_DINING_ROOM,M1_DINING_ROOM,world_overlay,phase_pack,demo_full,true,1,PLANNED,true,210,gatam,M2_DEMO_COMPLETE,TBD,
AUD_AMB_M1_DINING_ROOM,M1_DINING_ROOM,ambient_audio,base_loop,demo_full,true,1,PLANNED,true,NOne,gatam,M2_DEMO_COMPLETE,TBD,
